user_id,username,message,date,likes,retweets,hashtags
7,user_7,Python is amazing! #coding #python,2023-11-03 06:19:29.721485,351,229,#travel
15,user_15,Check out my new blog post!,2024-07-30 06:19:29.721505,198,50,#fitness
11,user_11,Python is amazing! #coding #python,2024-09-13 06:19:29.721510,307,263,#game
8,user_8,,2024-05-08 06:19:29.721514,488,282,#coffee
7,user_7,Taking a break #relax,2024-05-23 06:19:29.721517,416,26,
19,user_19,Who else loves coffee? #coffee,2024-06-03 06:19:29.721522,423,225,#fitness
11,user_11,Python is amazing! #coding #python,2024-07-16 06:19:29.721526,0,276,#sunnyday #fun
11,user_11,Check out my new blog post!,2024-08-04 06:19:29.721530,38,285,#travel
4,user_4,Having a great time with friends #goodvibes,2023-10-15 06:19:29.721539,337,96,#travel
8,user_8,Who else loves coffee? #coffee,2023-12-21 06:19:29.721543,359,283,#sunnyday #fun
3,user_3,Listening to my favorite song #music,2024-08-12 06:19:29.721546,128,146,#coding #python
2,user_2,Learning new coding skills #python,2023-11-28 06:19:29.721549,266,3,#music
12,user_12,Taking a break #relax,2024-02-22 06:19:29.721552,475,34,#coffee
6,user_6,Taking a break #relax,2024-09-09 06:19:29.721555,440,191,#developerlife
2,user_2,,2024-09-10 06:19:29.721557,472,48,#peace
1,user_1,Working on my new project #developerlife,2024-08-09 06:19:29.721560,433,16,#fitness
12,user_12,Running my first marathon next week #fitness,2024-06-06 06:19:29.721563,150,171,#sunnyday #fun
12,user_12,Listening to my favorite song #music,2024-05-29 06:19:29.721565,414,219,#peace
17,user_17,Found this cute café #coffee,2024-01-11 06:19:29.721567,477,157,#game
10,user_10,Can't stop coding #python,2023-11-22 06:19:29.721569,297,45,#fitness
16,user_16,Can't wait for the weekend #TGIF,2024-09-12 06:19:29.721571,98,5,#music
15,user_15,,2023-12-13 06:19:29.721572,262,98,#peace
15,user_15,Listening to my favorite song #music,2024-06-16 06:19:29.721573,251,232,#game
19,user_19,Working on my new project #developerlife,2023-10-29 06:19:29.721575,143,36,#TGIF
12,user_12,Taking a break #relax,2023-10-02 06:19:29.721576,345,279,
3,user_3,Check out my latest code snippet #coding,2023-12-21 06:19:29.721578,111,180,#travel
5,user_5,Can't wait for the weekend #TGIF,2024-02-24 06:19:29.721580,499,94,#TGIF
19,user_19,Working on my new project #developerlife,2024-06-05 06:19:29.721583,59,98,#fitness
7,user_7,Listening to my favorite song #music,2024-02-09 06:19:29.721586,368,187,#music
9,user_9,Running my first marathon next week #fitness,2023-11-29 06:19:29.721588,1,115,#coffee
7,user_7,Loving this weather #sunnyday,2024-05-06 06:19:29.721591,384,190,#peace
18,user_18,Had the best meal today #foodie,2024-09-22 06:19:29.721593,303,252,
4,user_4,Working on my new project #developerlife,2024-07-06 06:19:29.721596,253,160,#fitness
14,user_14,Just completed a 5k run! #fitness,2023-10-04 06:19:29.721599,139,255,#sunnyday #fun
18,user_18,Exploring new places #travel,2024-02-22 06:19:29.721600,452,127,#goodvibes
